route_id,route_name,stop_id,stop_sequence,latitude,longitude,stop_name,distance_to_next,cumulative_distance,estimated_travel_time_min,normal_day_time_min,morning_traffic_time_min,route_segment,travel_time_category,distance_category,condition
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,25,25,-1.96752,30.08285,Kwa Mironko2,0.393785121,19.42566527,0.686420485,0.533763985,0.686267981,Mid,Very Short,Very Close,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,26,26,-1.96489,30.08039,KN 3 Rd_6,0.409601791,19.81945039,0.700001159,0.544324385,0.699845638,Late,Very Short,Very Close,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,27,27,-1.96249,30.07761,Volta Super1,0.580853781,20.22905218,1.031591264,0.802170501,1.031362072,Late,Very Short,Close,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,28,28,-1.9573,30.07608,Ku Mazi1,0.803807318,20.80990596,1.362900445,1.059798169,1.362597645,Late,Very Short,Close,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,29,29,-1.95026,30.07484,Chez Rasta,0.407793623,21.61371328,0.712060872,0.553702078,0.711902672,Late,Very Short,Very Close,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,30,30,-1.94667,30.07381,One Love,0.794771689,22.0215069,1.374799133,1.069050648,1.37449369,Late,Very Short,Close,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,31,31,-1.94101,30.06934,Forex Form_Poids Lourd,0.710088552,22.81627859,1.239947713,0.964189513,1.239672231,Late,Very Short,Close,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,32,32,-1.93686,30.06433,Kigali Gaz_Kinamba,0.482720757,23.52636715,0.784132259,0.609745147,0.783958046,Late,Very Short,Very Close,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,33,33,-1.93549,30.06045,Kinamba Bridge,0.778249769,24.0090879,1.334979492,1.038086697,1.334682896,Late,Very Short,Close,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,34,34,-1.93596,30.05346,Handicap HQs,0.541045404,24.78733767,0.958114774,0.745034816,0.957901907,Late,Very Short,Close,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,35,35,-1.93841,30.04907,Ku Magare,0.558456203,25.32838308,0.93450604,0.726676548,0.934298419,Late,Very Short,Close,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,36,36,-1.94073,30.04475,Nyabugogo Bus Park,0.01,25.88683928,0,0,0,Late,Very Short,Very Close,evening_traffic
